density	nbumps	mean_velocity	mean_current	mean_CO2	mean_NOx	mean_VOC	mean_PM	std_V: 	std_CO2: 	std_NOx: 	std_VOC: 	std_PM: 
0.1	1	3.84842	0.384842	10.6742	0.00646609	0.00433903	0.000678205	0.439063	26.5497	0.00646609	0.00433903	4.89863e-07
0.1	2	3.81676	0.381676	11.4095	0.00697664	0.00433457	0.000736654	0.522701	30.1921	0.00697664	0.00433457	5.78701e-07
0.1	3	3.78905	0.378905	12.123	0.007477	0.0043303	0.000793318	0.583292	33.4486	0.007477	0.0043303	6.71691e-07
0.1	4	3.76125	0.376125	12.8634	0.00800032	0.00432526	0.000852378	0.636045	36.3753	0.00800032	0.00432526	7.75216e-07
0.1	5	3.73556	0.373556	13.5981	0.00852417	0.00432076	0.000910945	0.680623	39.2645	0.00852417	0.00432076	8.8514e-07
0.1	6	3.71052	0.371052	14.3361	0.00905246	0.00431588	0.000969901	0.719218	41.898	0.00905246	0.00431588	1.00324e-06
0.1	7	3.68364	0.368364	15.0411	0.00955212	0.00431146	0.00102607	0.758988	44.3312	0.00955212	0.00431146	1.12145e-06
0.1	8	3.66255	0.366255	15.7539	0.0100646	0.00430689	0.0010829	0.786213	46.6557	0.0100646	0.00430689	1.24685e-06
0.1	9	3.6364	0.36364	16.4746	0.0105753	0.0043024	0.00114033	0.819982	48.9888	0.0105753	0.0043024	1.38111e-06
0.1	10	3.61333	0.361333	17.1832	0.0110835	0.00429769	0.00119694	0.847236	51.0026	0.0110835	0.00429769	1.5206e-06
